,poly_ID,monomers,mon_SMILES,mon_mol_distribution,DP,MIC_ecoli,MIC_saureus,HC50,Mw,MIC_ecoli_uM
0,1,"['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",70,900.8108108108108,>512,>2000,11.1,>46.2
1,2,"['Tma', 'Ni', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'COCCCNC(=O)C=C']","[0.4549454859354751, 0.43169677376239013, 0.11335774030213468]",70,840.2521008403361,>512,>2000,11.9,>43.1
2,3,"['Tma', 'Phe', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'C=CC(=O)N1CCOCC1']","[0.5044570496588803, 0.368058869011033, 0.12748408133008668]",70,24.854368932038835,>512,>2000,10.3,24.8
3,4,"['Tma', 'Phe', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'COCCCNC(=O)C=C']","[0.5053614730538734, 0.3687187488800791, 0.1259197780660476]",70,24.38095238095238,>512,>2000,10.5,24.4
4,5,"['Tma', 'Do', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[0.5878058277488345, 0.2636465684428655, 0.14854760380830015]",70,12.427184466019417,32-64,>2000,10.3,12.4
5,6,"['Tma', 'Do', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'COCCCNC(=O)C=C']","[0.5890341712713527, 0.2641975132264877, 0.1467683155021596]",70,10.578512396694215,32,>2000,12.1,10.6
6,7,"['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[0.7335234220883662, 0.21063007227554228, 0.05584650563609155]",70,729.8540145985402,32,>2000,13.7,>37.4
7,8,"['Tma', 'Ni', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'COCCCNC(=O)C=C']","[0.7340989472357222, 0.2107953333970466, 0.055105719367231194]",70,729.8540145985402,64-128,>2000,13.7,>37.4
8,9,"['Tma', 'Phe', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'C=CC(=O)N1CCOCC1']","[0.771054659625125, 0.17024140932398385, 0.05870393105089118]",70,793.5714285714286,32,>2000,12.6,>40.5
9,10,"['Tma', 'Phe', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'COCCCNC(=O)C=C']","[0.77169061127758, 0.17038182129637044, 0.057927567426049716]",70,869.4782608695652,32,>2000,11.5,>44.5
10,11,"['Tma', 'Do', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[0.8251748414307326, 0.1120008096186611, 0.06282434895060626]",70,32.26890756302521,32,<50,11.9,32.3
11,12,"['Tma', 'Do', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'COCCCNC(=O)C=C']","[0.8259032429910733, 0.11209967541096302, 0.06199708159796359]",70,21.15702479338843,32,>2000,12.1,21.2
12,13,"['Tma', 'Ni', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[0.4542123849646637, 0.43100113585911337, 0.11478647917622276]",115,471.6509433962264,128,>8000,21.2,>24.2
13,14,"['Tma', 'Ni', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'COCCCNC(=O)C=C']","[0.4549454859354751, 0.43169677376239013, 0.11335774030213468]",115,454.5,>512,>8000,22.0,>23.3
14,15,"['Tma', 'Phe', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'C=CC(=O)N1CCOCC1']","[0.5044570496588803, 0.368058869011033, 0.12748408133008668]",115,17.066666666666666,128-256,>8000,22.5,17
15,16,"['Tma', 'Phe', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'COCCCNC(=O)C=C']","[0.5053614730538734, 0.3687187488800791, 0.1259197780660476]",115,13.333333333333334,>512,>8000,19.2,13.3
16,17,"['Tma', 'Do', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[0.5878058277488345, 0.2636465684428655, 0.14854760380830015]",115,6.0663507109004735,32,4000-8000,21.1,6.1
17,18,"['Tma', 'Do', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'COCCCNC(=O)C=C']","[0.5890341712713527, 0.2641975132264877, 0.1467683155021596]",115,6.632124352331606,32,>8000,19.3,6.6
18,19,"['Tma', 'Bam', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCNC(=O)C=C', 'COCCCNC(=O)C=C']","[0.4776777673797556, 0.4033003410382325, 0.11902189158201187]",70,662.1854304635762,>512,>8000,15.1,>33.9
19,20,"['Tma', 'Bmam', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCOCNC(=O)C=C', 'COCCCNC(=O)C=C']","[0.5175485588976436, 0.3534950343525946, 0.12895640674976175]",70,16.623376623376622,>512,4000-8000,15.4,16.7
20,21,"['Tma', 'Tmb', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)(C)CC(C)(C)NC(=O)C=C', 'COCCCNC(=O)C=C']","[0.5449589958950783, 0.31925480061075623, 0.13578620349416537]",70,5.663716814159292,64,<62.5,11.3,5.7
21,22,"['Tma', 'Oct', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCNC(=O)C=C', 'COCCCNC(=O)C=C']","[0.5449589958950783, 0.31925480061075623, 0.13578620349416537]",70,15.118110236220474,64,4000-8000,12.7,15.1
22,23,"['Tma', 'Olam', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)', 'COCCCNC(=O)C=C']","[0.6315666917027046, 0.21106726063929626, 0.15736604765799914]",70,12.427184466019417,64-32,>8000,10.3,12.4
23,24,"['Tma', 'Do', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C', 'COCCCNC(=O)C=C']","[0.6624, 0.2640, 0.0736]",70,36.57142857142857,128,3369,14.0,36.5
24,25,"['Tma','Tmb','Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)(C)CC(C)(C)NC(=O)C=C', 'C=CC(=O)N1CCOCC1']","[0.0351, 0.0396, 0.9253]",70,781.171875,>512,>4000,12.8,>39.9
25,26,"['Tma', 'Oct', 'Mep']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCNC(=O)C=C', 'COCCCNC(=O)C=C']","[0.8750, 0.0548, 0.0702]",70,666.6,>512,>4000,15.0,>34.1
26,27,"['Tma', 'Phe', 'Mo']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'C=CC(=O)N1CCOCC1']","[0.4583, 0.1756, 0.3661]",70,699.2307692307692,16,>4000,14.3,>35.9
27,28,"['Aeg', 'Mo', 'Olam']","['[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']","[0.42865, 0.39263, 0.17872]",70,411.48148148148147,,1300,24.3,>21.1
28,29,"['Aeg', 'Mo', 'Phe']","['[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1']","[0.84378, 0.11593, 0.04029]",70,812.9268292682926,,<500,12.3,>41.6
29,30,"['Aeg', 'Mo', 'Mep', 'Phe']","['[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)NCCCOC', 'C=CC(=O)Nc1ccccc1']","[0.06614, 0.48463, 0.19661, 0.25262]",70,990.0,,2200,10.1,>50.7
30,31,"['Tma', 'Mo', 'Mep', 'Do']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)NCCCOC', 'CCCCCCCCCCCCNC(=O)C=C']","[0.57756, 0.31555, 0.04001, 0.06689]",70,617.2222222222223,,>4000,16.2,>31.6
31,32,"['Tma', 'Mep', 'Phe', 'Olam']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)NCCCOC', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']","[0.73318, 0.03627, 0.14914, 0.08140]",70,4.848484848484849,,>4000,26.4,4.8
32,33,"['Tma', 'Do']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C']","[0.77650798, 0.22349202]",70,2.735042735042735,,>4000,23.4,2.7
33,34,"['Aeg', 'Mo', 'Olam']","['[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']","[0.09101843, 0.74525889, 0.16372269]",70,854.6153846153846,,>4000,11.7,>43.7
34,35,"['Tma', 'Ni', 'Phe']","['C[N+](C)(C)CCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'C=CC(=O)Nc1ccccc1']","[0.42715473, 0.35467542, 0.21816985]",70,492.5615763546798,,>4000,20.3,>25.2
35,36,"['Tma', 'Bam', 'Oct']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCOCNC(=O)C=C', 'CCCCCCCCNC(=O)C=C']","[0.43771601, 0.51740712, 0.04487686]",70,1.7391304347826089,,<500,18.4,1.7
36,37,"['Tma', 'Mo', 'Phe', 'Oct']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCCNC(=O)C=C']","[0.12548129, 0.5944452, 0.23845152, 0.04162198]",70,751.8045112781955,,>4000,13.3,>38.5
37,38,"['Tma', 'Aeg', 'Phe', 'Olam']","['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']","[0.45042781, 0.10740022, 0.28118029, 0.16099169]",70,2.5,,1500,51.2,2.5
38,39,"['Tma', 'Aeg', 'Ni', 'Tmb']","['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'CC(C)NC(=O)C=C', 'CC(C)(C)CC(C)(C)NC(=O)C=C']","[0.26581183, 0.16297791, 0.48555995, 0.08565032]",70,3.1683168316831685,,<500,20.2,3.2
39,40,"['Tma', 'Mo', 'Phe', 'Olam']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']","[0.29196197, 0.24429091, 0.4100799, 0.05366721]",70,3.75366568914956,,>4000,34.1,3.8
40,41,"['Tma', 'Aeg', 'Mo', 'Tmb']","['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)(C)CC(C)(C)NC(=O)C=C']","[0.3181497, 0.15271768, 0.45359547, 0.07553715]",70,18.285714285714285,,<500,14.0,18.3
41,42,"['Tma', 'Aeg', 'Mo', 'Ni', 'Olam']","['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'CC(C)NC(=O)C=C', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']","[0.26930237, 0.19263775, 0.06572158, 0.32795742, 0.14438088]",70,8.95104895104895,,>4000,14.3,9
42,43,"['Tma', 'Do']","['C[N+](C)(C)CCCNC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C']","[0.91245961, 0.08754039]",70,17.41496598639456,,>4000,14.7,17.4
43,44,"['Tma', 'Phe', 'Do']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCCCCCCNC(=O)C=C']","[0.75911596, 0.19991786, 0.04096618]",70,16.0,,>4000,16.0,16
44,45,"['Tma', 'Aeg', 'Phe', 'Olam']","['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']","[0.84489248, 0.05332674, 0.06980632, 0.03197446]",70,8.311688311688311,,>4000,15.4,8.3
45,46,"['Tma', 'Mep', 'Ni', 'Do']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)NCCCOC', 'CC(C)NC(=O)C=C', 'CCCCCCCCCCCCNC(=O)C=C']","[0.59286915, 0.06113782, 0.30942782, 0.03656522]",70,14.382022471910112,,>4000,17.8,14.4
46,47,"['Tma', 'Mo', 'Phe', 'Olam']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)']","[0.52969823, 0.19390437, 0.24799873, 0.02839867]",70,6.666666666666667,,>4000,19.2,6.7
47,48,"['Tma', 'Mo', 'Phe', 'Do']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCCCCCCNC(=O)C=C']","[0.32114784, 0.58780609, 0.05638417, 0.0346619]",70,649.2857142857142,,>4000,15.4,>33.2
48,49,"['Tma', 'Aeg', 'Oct', 'Tmb']","['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'CCCCCCCCNC(=O)C=C', 'CC(C)(C)CC(C)(C)NC(=O)C=C']","[0.67773417, 0.10388523, 0.16378545, 0.05459515]",70,13.617021276595745,,<500,14.1,13.6
49,50,"['Tma', 'Mo', 'Mep', 'Do', 'Bam']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)NCCCOC', 'CCCCCCCCCCCCNC(=O)C=C', 'CCCCNC(=O)C=C']","[0.57043705, 0.2570061, 0.06334955, 0.037888, 0.07131929]",70,14.797687861271676,,>4000,17.3,14.8
50,51,"['Tma', 'Aeg', 'Mo', 'Phe', 'Bam']","['C[N+](C)(C)CCCNC(=O)C=C', '[Cl-].NC(=[NH2+])NCCNC(=O)C=C', 'C=CC(=O)N1CCOCC1', 'C=CC(=O)Nc1ccccc1', 'CCCCNC(=O)C=C']","[0.18274854, 0.03921718, 0.26759191, 0.15400944, 0.35643293]",70,34.13333333333333,,>4000,15.0,34.1
51,52,"['Tma', 'Mep', 'Phe', 'Olam', 'Bmam']","['C[N+](C)(C)CCCNC(=O)C=C', 'C=CC(=O)NCCCOC', 'C=CC(=O)Nc1ccccc1', 'CCCCCCCC/C=C\\CCCCCCCCNC(=O)C(=C)', 'CCCCOCNC(=O)C=C']","[0.67422068, 0.06952695, 0.06764197, 0.06196619, 0.12664421]",70,2.471042471042471,,>4000,25.9,2.5
